Type,M,N,Cond,Norm1/Norm0,Norm2/Norm0,Norm3/Norm0,Norm4/Norm0,Norm5/Norm0,Norm6/Norm0,Norm7/Norm0,Norm8/Norm0,Norm9/Norm0,Norm10/Norm0,Norm11/Norm0,Norm12/Norm0,Norm13/Norm0,Norm14/Norm0,Norm15/Norm0,Norm16/Norm0,Norm17/Norm0,Norm18/Norm0,Norm19/Norm0,Norm20/Norm0,Iter1
2,4096,256,1000,0.422529,0.210298,0.107431,0.0563567,0.0278511,0.0153596,0.00785341,0.00368401,0.00200496,0.00125784,0.00116961,0.00163646,0.00247674,0.00467273,0.0107014,0.0237394,0.0510936,0.115966,0.261756,0.548732,-1
3,4096,256,1000,0.472645,0.26487,0.136478,0.0858698,0.0479936,0.0271931,0.0161061,0.00904676,0.00560573,0.00310778,0.00193465,0.00110112,0.000656134,0.000361828,0.000223772,0.000128244,7.77E-05,4.34E-05,2.43E-05,1.31E-05,2
4,4096,256,1000,0.315525,0.0968311,0.0331039,0.0110602,0.00373174,0.00110344,0.000346222,0.000107755,3.52E-05,1.24E-05,4.11E-06,1.28E-06,4.25E-07,1.35E-07,4.32E-08,1.43E-08,4.68E-09,1.49E-09,4.41E-10,1.28E-10,2
1,4096,512,1000,0.286163,0.0945275,0.0320236,0.011179,0.00358242,0.00115609,0.000375976,0.000124471,4.25E-05,1.44E-05,4.82E-06,1.57E-06,5.29E-07,1.71E-07,5.75E-08,1.83E-08,6.22E-09,2.01E-09,6.65E-10,2.21E-10,2
2,4096,512,1000,0.250064,0.0596105,0.014763,0.00437643,0.00216286,0.0035503,0.0134797,0.0656672,0.353344,1.38344,2.5674,0.85767,0.148779,0.0221358,0.00330772,0.000876788,0.000581674,0.00150461,0.0114246,0.0972408,-1
3,4096,512,1000,0.552461,0.356559,0.268694,0.21692,0.149214,0.113815,0.0853441,0.0647731,0.0469175,0.0362363,0.0280534,0.0220685,0.0156093,0.0113696,0.00825679,0.0062317,0.00464184,0.00358744,0.00276169,0.00205266,3
4,4096,512,1000,0.36601,0.158817,0.0710703,0.0317438,0.0142636,0.00640883,0.00291225,0.00132984,0.000565416,0.000257912,0.000110602,4.85E-05,2.23E-05,1.04E-05,4.59E-06,2.06E-06,9.10E-07,4.03E-07,1.83E-07,8.11E-08,3
1,4096,1024,1000,0.361467,0.153545,0.0681165,0.0305355,0.014238,0.00637677,0.00285783,0.00128272,0.000587694,0.000265836,0.00011696,5.04E-05,2.28E-05,1.03E-05,4.49E-06,1.98E-06,8.77E-07,4.00E-07,1.78E-07,7.98E-08,3
2,4096,1024,1000,0.154695,0.0107417,0.00338342,0.0101822,0.143945,2.24813,6.54884,0.916627,0.127365,0.0104458,0.00115403,0.0042738,0.0574237,0.871118,1.717,0.107547,0.00522267,0.000466603,0.0002152,0.000689371,-1
3,4096,1024,1000,0.57502,0.455766,0.355222,0.290578,0.263389,0.229739,0.203256,0.175162,0.162225,0.148669,0.130264,0.114656,0.102597,0.0994554,0.0845196,0.0789907,0.073274,0.0635328,0.0584589,0.052257,3
4,4096,1024,1000,0.48033,0.25887,0.158078,0.0929085,0.0544997,0.031609,0.0194003,0.0116814,0.00719154,0.00430735,0.00248464,0.00158714,0.000945177,0.000574163,0.000357474,0.00021699,0.000128478,7.63E-05,4.55E-05,2.63E-05,3
1,4096,2048,1000,0.341133,0.173031,0.0973723,0.0548358,0.030576,0.0178686,0.0104697,0.00620823,0.00363934,0.00219495,0.00132518,0.000763515,0.000451967,0.000260897,0.000150847,8.62E-05,4.99E-05,2.80E-05,1.61E-05,9.53E-06,3
2,4096,2048,1000,0.0517146,0.00313323,0.00335437,0.07538,1.79883,3.60854,0.120643,0.00231629,0.000826665,0.000394559,0.66135,0.0371346,0.000832195,0.000231641,0.00192906,0.0501481,0.872081,0.0610121,0.00053863,0.000128079,-1
3,4096,2048,1000,0.582832,0.474176,0.391275,0.365354,0.317,0.288574,0.26127,0.245334,0.233028,0.235116,0.215645,0.206167,0.197773,0.204157,0.175902,0.166709,0.157621,0.153647,0.155269,0.151532,5
4,4096,2048,1000,0.494334,0.312093,0.224354,0.167968,0.124664,0.0980945,0.0755816,0.0564308,0.0438505,0.0342419,0.0274827,0.0212175,0.0166245,0.0130537,0.0104829,0.00802734,0.00644609,0.00503167,0.00386367,0.00301304,3
1,4096,4096,1000,1.06E-06,4.68E-07,1.06E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,4096,4096,1000,0.00940747,4.02E-08,1.28E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,4096,4096,1000,0.611338,0.449662,0.37283,0.349979,0.314695,0.292768,0.259601,0.243666,0.230729,0.215785,0.20945,0.21199,0.199732,0.192574,0.187927,0.179499,0.180761,0.172349,0.169556,0.15886,-1
4,4096,4096,1000,0.436542,0.276919,0.202304,0.157682,0.129895,0.111053,0.0965625,0.0833674,0.0744415,0.0664216,0.0607182,0.0572006,0.0518905,0.0486317,0.045358,0.041839,0.0392485,0.0377205,0.0361221,0.0343308,9
1,8192,128,1000,0.148364,0.0178425,0.00218632,0.000261901,3.35E-05,4.25E-06,4.89E-07,6.32E-08,6.88E-09,8.26E-10,9.70E-11,1.14E-11,1.35E-12,1.82E-13,0,0,0,0,0,0,1
2,8192,128,1000,0.511569,0.296268,0.206415,0.138475,0.0950904,0.0620486,0.0396052,0.0301031,0.0239365,0.016763,0.0113794,0.00829094,0.00542255,0.00387747,0.002522,0.00168971,0.00112974,0.000976664,0.000712632,0.000470989,1
